资质类型,护工ID,获取时间,认证单位,创建时间,资质名称
护理类,23,2023/5/31 14:02,宁波市第一医院,2023/7/3 14:02,
操作类,23,2023/5/31 14:02,宁波市第一医院,2023/7/3 14:02,
信息类,4181,2023/12/4 0:00,宁海县中医医院,2023/12/5 19:45,健康证
信息类,4181,2017/6/27 0:00,甘谷县公安局,2023/12/5 19:48,身份证
信息类,4181,2023/11/27 8:00,馨知爱护理服务有限公司,2023/12/5 19:50,上岗证
信息类,4042,,,2023/12/8 11:06,身份证
信息类,4042,,,2023/12/8 11:07,健康证
信息类,4042,,,2023/12/8 11:09,技能证书
信息类,4207,,,2023/12/20 14:51,身份证
信息类,4207,,,2023/12/20 14:52,健康证
信息类,4207,,,2023/12/20 14:57,保险保单
信息类,4181,,,2023/12/20 15:06,保险保单
信息类,4273,,,2023/12/20 15:11,身份证
信息类,4273,,,2023/12/20 15:12,保险保单
信息类,4274,,,2023/12/20 15:13,身份证
信息类,4274,,,2023/12/20 15:16,健康证
信息类,4276,,,2023/12/20 15:38,身份证
信息类,4276,,,2023/12/20 15:38,技能证书
信息类,4279,,,2023/12/20 16:04,身份证
信息类,4279,,,2023/12/20 16:04,健康证
信息类,4274,,,2023/12/20 16:11,技能证书
信息类,4274,,,2023/12/20 16:20,上岗证
信息类,4399,,,2023/12/27 10:57,身份证
信息类,4399,,,2023/12/27 10:58,健康证
信息类,4181,,,2023/12/27 11:22,技能证书
信息类,4399,,,2024/1/4 9:29,技能证书
信息类,4595,,,2024/3/5 8:20,身份证
信息类,4987,,,2024/3/5 8:23,身份证
信息类,4988,,,2024/3/5 8:24,身份证
信息类,4989,,,2024/3/5 8:25,身份证
信息类,4990,,,2024/3/5 8:27,身份证
护理类,3052,2023/12/27 0:00,象山县卫生进修学校,2024/4/12 9:37,职业技能等级证书
护理类,3037,2023/12/27 0:00,象山县卫生进修学校,2024/4/12 9:44,健康照护师
护理类,3077,2023/12/27 0:00,象山县卫生进修学校,2024/4/12 9:49,健康照护师
护理类,5233,2023/12/27 0:00,象山县卫生进修学校,2024/4/12 9:59,健康照护师
