工作时长,,,,,,,,,,,
505,,,,,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
395,,工作时长,数量,占比,,,,,,工作时长,数量
395,,0~50,54,7.00%,,,,,,350~550,256
395,,50~100,43,5%,,,,,,200~250,231
395,,100~150,71,9%,,,,,,100~150,71
395,,150~200,59,7.00%,,,,,,150~200,59
395,,200~250,231,30%,,,,,,300~350,55
395,,250~300,48,6%,,,,,,0~50,54
395,,300~350,55,7.00%,,,,,,250~300,48
395,,350~400,255,30%,,,,,,50~100,43
395,,400~450,0,0%,,,,,,,
395,,450~500,0,0%,,,,,,,
395,,500~550,1,0.10%,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
395,,,,,,,,,,,
