年龄,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,
48,,贡献度,年龄,计数项:年龄,,,,,,,,,,,,,年龄,计数("年龄")
51,,高,52,297,,,,,,,,,,,,,31,1
60,,,54,46,,,,,,,,,,,,,33,1
59,,,53,41,,,,,,,,,,,,,34,3
62,,,51,41,,,,,,,,,,,,,35,5
59,,,56,31,,,,,,,,,,,,,36,4
59,,,55,28,,,,,,,,,,,,,37,7
52,,,58,24,,,,,,,,,,,,,38,3
60,,,60,22,,,,,,,,,,,,,39,7
55,,,49,22,,,,,,,,,,,,,40,4
56,,,47,21,,,,,,,,,,,,,41,9
53,,低,48,21,,,,,,,,,,,,,42,7
52,,,61,20,,,,,,,,,,,,,43,14
53,,,59,20,,,,,,,,,,,,,44,11
54,,,57,19,,,,,,,,,,,,,45,16
50,,,50,18,,,,,,,,,,,,,46,16
56,,,45,16,,,,,,,,,,,,,47,21
54,,,46,16,,,,,,,,,,,,,48,21
59,,,43,14,,,,,,,,,,,,,49,22
58,,,44,11,,,,,,,,,,,,,50,18
49,,,41,9,,,,,,,,,,,,,51,41
50,,,67,8,,,,,,,,,,,,,52,297
67,,,62,8,,,,,,,,,,,,,53,41
45,,,64,7,,,,,,,,,,,,,54,46
67,,,42,7,,,,,,,,,,,,,55,28
59,,,39,7,,,,,,,,,,,,,56,31
53,,,37,7,,,,,,,,,,,,,57,19
55,,,63,5,,,,,,,,,,,,,58,24
56,,,66,5,,,,,,,,,,,,,59,20
60,,,35,5,,,,,,,,,,,,,60,22
47,,,65,4,,,,,,,,,,,,,61,20
52,,,40,4,,,,,,,,,,,,,62,8
62,,,36,4,,,,,,,,,,,,,63,5
53,,,38,3,,,,,,,,,,,,,64,7
55,,,34,3,,,,,,,,,,,,,65,4
53,,,71,1,,,,,,,,,,,,,66,5
60,,,33,1,,,,,,,,,,,,,67,8
54,,,31,1,,,,,,,,,,,,,71,1
58,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,
