订单数,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,
5,,订单数,数量,占比,,,,,,,,,,,,,,订单数,数量
8,,-4~0,0,0%,,,,,,订单数,数量,,,,,,,0~5,630
11,,0~5,630,80%,,,,,,0~5,630,,,,,,,5~10,123
16,,5~10,123,20%,,,,,,5~10,123,,,,,,,10~15,38
1,,10~15,38,5%,,,,,,10~15,38,,,,,,,15~20,15
3,,15~20,15,2%,,,,,,15~20,15,,,,,,,20~30,11
4,,20~25,7,0.90%,,,,,,20~30,11,,,,,,,,
1,,25~30,4,0.50%,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,
